Nodo_2 13:14:42.481979 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.596055 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.596055 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.596554 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.596554 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.711132 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.711132 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.711631 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.711631 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.828210 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.828210 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.828709 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.828709 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.942784 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.942784 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.943284 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.943284 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.063365 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.063365 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.063864 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.063864 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.182444 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.182444 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.182943 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.182943 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.297020 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.297020 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.297521 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.297521 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.411596 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.411596 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.412097 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.412097 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.527675 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.527675 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.527675 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.527675 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.646146 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.646146 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.646146 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.646146 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.764609 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.764609 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.765607 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.765607 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.880229 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.880229 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.881206 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.881206 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:43.995664 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.995664 raft.go:501: Nodo 1 tiene hasta la entrada -1
